ID,FMZ,Name,Phos,pH,Calc,Ecozone,Species,Fishery
15-3532-55170,5,Whitefish L.,8.199,6.99,3.06,Ontario Shield,11,Walleye
15-3653-55394,5,Cygnet L.,26,7.179,3.379,Ontario Shield,11,Walleye
15-3662-55240,5,Pelicanpouch L.,27.199,6.94,3.22,Ontario Shield,5,Walleye
15-3754-55732,4,Umfreville L.,23.399,7.49,10.9,Ontario Shield,10,Walleye
15-3755-55568,5,Blueberry L.,23.3,6.96,3.18,Ontario Shield,10,Walleye
15-3786-56088,4,Dowswell L.,10.4,6.87,3.379,Ontario Shield,12,Lake Trout
15-3895-55970,4,Wyder L.,7.099,6.589,2.5,Ontario Shield,11,Lake Trout
15-3982-55227,5,Black Sturgeon L.s,13.9,7.07,4.459,Ontario Shield,30,Walleye
15-3982-55227,5,Black Sturgeon L.s,13.9,7.07,4.459,Ontario Shield,28,Walleye
15-4066-55579,4,Lount L.,28.399,7.419,10.4,Ontario Shield,17,NA
15-4100-55022,5,Blindfold L.,11.6,6.78,3.799,Ontario Shield,14,Walleye
15-4115-55351,5,Cross L.,6.7,6.86,1.76,Ontario Shield,12,Lake Trout
15-4124-55428,5,Old Man L.,9.3,6.98,2.72,Ontario Shield,15,Walleye
15-4127-55299,5,Plum L.,9.699,6.65,2.06,Ontario Shield,4,Walleye
15-4131-55595,4,Big Fox L.,31.199,7.339,10,Ontario Shield,4,Walleye
15-4153-55253,5,Silver L.,4.5,7.009,3.6,Ontario Shield,9,Lake Trout
15-4172-56262,4,Longlegged L.,28.6,7.169,6.32,Ontario Shield,22,Walleye
15-4216-54977,5,Andy L.,9.9,7.2,10.8,Ontario Shield,6,Walleye
15-4238-55430,4,Tom L.,5.799,6.889,2.259,Ontario Shield,9,Lake Trout
15-4250-55493,4,Delaney L.,9.8,7.049,3.58,Ontario Shield,13,Lake Trout
15-4255-56385,4,Upper Medicine Stone L.,5.2,6.87,3.58,Ontario Shield,15,Lake Trout
15-4270-56011,4,Conifer L.,4.9,7.15,4.78,Ontario Shield,10,Walleye
15-4302-54803,5,Berry L.,8.699,7,3.12,Ontario Shield,7,NA
15-4304-57399,4,Pikangikum L.,22.8,6.98,5.719,Ontario Shield,15,Walleye
